Year,Artist
2010,A.A. Bondy
2006,Abigail Washburn
2014,Ages and Ages
2012,Alabama Shakes
2007,Alejandro Escovedo
2007,Alison Krauss & Union Station Featuring Jerry Douglas
2007,Allman Brothers Band
2013,Amanda Palmer
2007,Amos Lee
2011,Amos Lee
2014,Anais Mitchell and Jefferson Hame
2010,Andrew Bird
2013,Andrew Bird
2012,Anthony D'Amato
2014,Aoife O'Donovan
2010,April Smith and the Great Picture Show
2009,Arlo Guthrie
2007,Assembly of Dust
2009,Balfa Toujours
2014,Band of Horses
2013,Beck
2014,Bejamin Booker
2009,Ben Kweller
2012,Ben Sollee
2010,Ben Sollee and Daniel Martin Moore
2006,Beolach
2014,Berklee
2012,Berklee City Music Choir
2013,Berklee Gospel & Roots Choir
2013,Beth Orton
2006,Bettye Lavette
2009,Billy Bragg
2013,Black Prairie
2013,Blake Mills
2012,Blind Pilot
2010,Blitzen Traper
2006,Blou
2014,Bluegrass
2013,Bombino
2013,Bonnie 'Prince' Billy and Dawn 
2008,Brandi Carlile
2010,Brandi Carlile
2009,Brett Dennen
2008,Brian Wilson
2011,Brown Bird
2012,Brown Bird
2014,Caitlin Rose
2008,Calexico
2010,Calexico
2012,Carl Broemel
2007,Carolina Chocolate Drops
2011,Carolina Chocolate Drops
2008,Cat Power
2012,Charles Bradley & His Extraordinaires
2007,Cheryl Wheeler
2006,Chris Smither
2011,Chris Thile & Michael Daves
2012,City and Colour
2013,Cold Specks 
2013,Colin Meloy (of Decemberists) 
2014,Comminion
2012,Conor Oberst
2014,Conor Oberst
2010,Corey Chisel and the Wandering Sons
2008,Cowboy Junkies
2009,Dala Girls
2006,Darrell Scott
2006,David Gray
2009,David Rawlings Machine
2010,David Wax Museum
2011,David Wax Museum
2010,Dawes
2012,Dawes
2014,Dawes
2014,Death Vessel
2009,Deer Tick
2012,Deer Tick
2014,Deer Tick
2009,Del McCoury
2011,Delta Spirit
2014,Devil Makes Three
2010,Doc Watson and David Holt
2007,Duane Andrews
2011,Earl Scruggs
2010,Edward Sharpe and the Magnetic Zeros
2012,Elizabeth Mitchell & You Are My Flower
2013,Elizabeth Mitchell and You Are My Flower
2013,Elizabeth Mitchell and You Are My Flower
2011,Elvis Costello
2007,Elvis Perkins in Dearland
2009,Elvis Perkins in Dearland
2010,Elvis Perkins in Deerland
2007,Emmylou Harris
2011,Emmylou Harris
2013,Father John Misty
2013,Feist
2012,First Aid Kit
2009,Fleet Foxes
2014,For Pete's Sake
2012,Frank Fairfield
2013,Frank Turner & The Sleeping Souls
2011,Freelance Whales
2012,Gary Clark Jr.
2008,Gillian Welch
2009,Gillian Welch
2011,Gillian Welch
2006,Gillian Welch & David Rawlings
2011,Gogol Bordello
2006,Grace Potter & The Nocturnals
2007,Grace Potter and the Nocturnals
2012,Graverobbers
2014,Gregory Alan Isakov
2012,Guthrie Family Reunion
2009,Guy Clark
2013,Hey Marseilles
2012,Honeyhoney
2010,Horse Feathers
2006,Hot Toddy
2013,Houndmouth
2014,Houndmouth
2014,Hozier
2013,Hurray for the Riff Raff
2014,Hurray for the Riff Raff
2006,Indigo Girls
2013,Iris Dement 
2012,Iron & Wine
2009,Iron and Wine
2014,J. Roddy Walston
2014,Jack White
2012,Jackson Browne
2008,Jake Shimabukuro
2008,Jakob Dylan
2013,Jason Isbell
2013,JD McPherson
2014,Jeff Tweedy
2014,Jenny Lewis
2008,Jesca Hoop
2008,Jim James (of My Morning Jacket)
2013,Jim James (of My Morning Jacket)
2008,Jimmy Buffett
2014,Jimmy Cliff
2009,Joan Baez
2012,Joe Fletcher & the Wrong Reasons
2013,Joe Fletcher's Nashville to Newport
2009,Joe Pug
2012,Joel Rafael
2007,John Butler Trio
2013,John McCauley
2010,John Prine
2014,John Reilly
2012,Jonah Tolchin
2012,Jonathan Wilson
2012,Jonny Corndawg
2009,Josh Ritter
2009,Judy Collin
2007,Julie Lee
2011,Justin Townes Earle
2013,Justin Townes Earle 
2008,Kaki King
2008,Kate Taylor
2006,Keller Williams - Solo Acoustic
2013,Kingsley Flood
2014,Kurt Vile
2006,"La Guitara Featuring Patty Larkin, Mimi Fox & Muriel Anderson"
2014,Lake Street Dive
2009,Langhorne Slim
2013,Langhorne Slim & The Law
2014,Leif Vollebekk
2008,Levon Helm
2010,Levon Helm's Ramble on the Road w/ Special Guests
2007,Linda Ronstadt
2010,Liz Longley
2013,Lord Huron
2013,Low Anthem's Newport Homegrown 
2014,Lucero
2014,Lucius
2011,M. Ward
2006,Madeleine Peyroux
2014,Mandolin Orange
2007,Martha Wainwright
2006,Mary Gauthier
2009,Mavis Staples
2011,Mavis Staples
2014,Mavis Staples
2013,Michael Hurley 
2013,Michael Kiwanuka
2011,Middle Brother
2011,Mountain Man
2012,My Morning Jacket
2009,Neko Case
2012,"New Multitudes Feat. Farrar, Johnson, Parker, & James"
2014,Nickel Creek
2013,Nicki Bluhm and The Gramblers 
2010,Nneka
2014,Noah Gundersen
2007,North Mississippi Allstars
2010,O'Death
2006,Odetta
2012,Of Monsters and Men
2013,Old Crow Medicine Show
2008,Over The Rhine
2012,Patty Griffin
2006,Patty Larkin
2014,Pegi Young
2006,Pendragon
2009,Pete Seeger
2011,Pete Seeger
2007,Phonograph
2013,Phosphorescent
2014,Phox
2014,Pokey Lafarge
2010,Pokey LaFarge and the South City Three
2011,Pokey LaFarge and the South City Three
2012,Preservation Hall Jazz Band
2011,PS22 Chorus
2012,Punch Brothers
2014,Puss n Boots
2012,R.J. Storm & Old School
2007,Ralph Stanley & The Clinch Mountain Boys
2011,Ramblin Jack Elliott
2013,Ramblin' Jack Elliott
2009,Ramblin' Jack Elliott
2007,Rani Arbo & Daisy Mayhem
2013,Rayland Baxter
2008,Red Rooster
2014,Reignwolf
2008,Richard Julian
2008,Richie Havens
2010,Richie Havens
2006,Riley Baugus
2011,River City Extension
2012,Robert Ellis
2014,Robert Hunter
2014,Rodrigo y Gabriela
2012,Rodriguez
2006,Rosalie Sorrels
2006,Rosanne Cash
2014,Ryan Adams
2011,Sallie Ford & The Sound Outside
2010,Sam Bush
2012,Sara Watkins
2010,Sarah Jarosz
2013,Sarah Jarosz
2011,Secret Sisters
2014,Shakey Graves
2010,Sharon Jones and the Dap Kings
2012,Sharon Van Etten
2008,She & Him featuring Zooey Deschanel & M. Ward
2013,Shovels and Rope
2014,Shovels and Rope
2007,Sierra Hull & Highway 111
2012,Sleepy Man Banjo Boys
2008,Son Volt
2011,"Song Circle w/ Gorka, Paul, Williams, Queler, & Farber"
2006,"Song Circle With Chris Smither, Darrell Scott & Jeffrey Foucault"
2007,"Song Circle with Martha Wainwright, Sloan Wainwright and Lucy Wainwright Roche"
2006,"Song Circle With Martyn Joseph, Bob Franke, Antje Duvekot & Kerry Grombacher"
2007,Song Swap Hazel Dickens [with Dudley Connell] & Diana Jones
2006,Sonny Landreth
2006,Sonya Kitchell
2012,Spider John Koerner & His Rag Tag Boys
2012,Spirit Family Reunion
2013,Spirit Family Reunion
2008,Stephen & Damian Marley
2008,Steve Earle and Allison Moorer
2010,Steve Martin performing w/ the Steep Canyon Rangers
2014,Sun Kil Moon
2014,Tall Tall Trees
2012,Tallest Man On Earth
2010,Tao Seeger Band
2011,Tegan and Sara (acoustic)
2014,Thao
2012,The Apache Relay
2008,The Avett Brothers
2009,The Avett Brothers
2010,The Avett Brothers
2008,The Black Crowes
2009,The Campbell Brothers
2011,The Cave Singers
2011,The Civil Wars
2009,The Decemberists
2011,The Decemberists
2012,The Deep Dark Woods
2014,The Deslondes
2011,The Devil Makes Three
2007,The Dirty Dozen Brass Band
2006,The Duhks
2008,The Felice Brothers
2010,The Felice Brothers
2011,The Felice Brothers
2013,The Felice Brothers
2014,The Haden Triplets
2011,The Head & The Heart
2012,The Head & the Heart
2012,The Kossoy Sisters
2013,The Last Bison
2013,The Lone Bellow 
2014,The Lonesome Trio
2009,The Low Anthem
2010,The Low Anthem
2013,The Lumineers
2007,The MacKenzie Project
2006,The Meters
2013,The Milk Carton Kids
2014,The Milk Carton Kids
2013,The Mountain Goats
2007,The Nightwatchman (Tom Morello Acoustic)
2014,The Oh Hellos
2010,The Preservation Hall Jazz Band
2010,The Punch Brothers featuring Chris Thile
2011,The Seeger Clogging All-Stars
2010,The Swell Season
2011,The Wailin' Jennys
2006,The Wood Brothers
2013,Tift Merritt
2009,"Tift Merritt, Tao Rodriguez Seeger"
2006,Tim Eriksen & Riley Baugus
2009,Tim Eriksen and Shape Note Singers
2006,Tim Eriksen Presents Shape Note
2010,Tim O'Brien
2009,Tom Morello: The Nightwatchman
2012,Tom Morello: The Nightwatchman
2011,Trampled By Turtles
2012,Trampled By Turtles
2014,Trampled By Turtles
2008,Trey Anastasio
2013,Trombone Shorty & Orleans Avenue
2012,Tune-Yards
2011,Typhoon
2014,Valerie June
2007,Vishten
2011,Wanda Jackson
2010,What Cheer? Brigade
2011,What Cheer? Brigade
2013,Wheeler Brothers
2014,Willie Watson
2008,Willy Mason 
2010,Yim Yames of My Morning Jacket
2008,Young @ Heart Chorus
